low_dens,med_dens,hi_dens,max_dens,original_rank
5,5,5,5,5
6,6,6,6,6
3,3,3,3,11
2,2,2,2,3
1,1,1,11,2
11,11,11,1,1
8,12,8,10,10
12,13,13,no action,9
13,8,12,9,12
4,4,9,13,13
9,9,4,12,8
10,10,10,8,no action
no action,no action,no action,4,7
7,7,7,7,4
